Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
G015,448,1.12438,0.249741,G15_10uM,compound,15,G,1.07648,0.932838
G016,346,1.05416,0.270021,G16_10uM,compound,16,G,0.931447,0.172961
G017,341,1.08995,0.257894,G17_10uM,compound,17,G,1.00535,0.560176
G018,213,1.01457,0.266578,G18_10uM,compound,18,G,0.849662,-0.255539
G019,254,1.08263,0.264352,G19_10uM,compound,19,G,0.99024,0.481001
G020,291,0.971106,0.277384,G20_10uM,compound,20,G,0.759896,-0.725863
G021,198,1.03391,0.298124,G21_10uM,compound,21,G,0.889622,-0.0461743
G022,358,1.09264,0.276119,G22_10uM,compound,22,G,1.01091,0.589311
G023,246,0.594642,0.171303,GDC0941_1uM,pos.akt,23,G,-0.017655,-4.79976
G024,277,1.11261,0.289859,DMSO_1E-3,neg,24,G,1.05215,0.805383
H001,239,1.11827,0.265162,H1_10uM,compound,1,H,1.06384,0.866639
H002,268,0.87062,0.266208,H2_10uM,compound,2,H,0.552352,-1.81327
H003,376,1.09169,0.254573,H3_10uM,compound,3,H,1.00894,0.579001
H004,314,1.09364,0.278145,H4_10uM,compound,4,H,1.01297,0.600095
H005,312,1.06934,0.23742,H5_10uM,compound,5,H,0.962794,0.337201
H006,413,1.13335,0.281947,H6_10uM,compound,6,H,1.09499,1.02981
H007,303,1.0964,0.257891,H7_10uM,compound,7,H,1.01868,0.63
H008,334,1.01496,0.293309,H8_10uM,compound,8,H,0.850465,-0.251333
H009,277,1.05441,0.271649,H9_10uM,compound,9,H,0.931958,0.175641
H010,376,1.00153,0.276842,H10_10uM,compound,10,H,0.822725,-0.396675
H011,309,1.04316,0.251922,H11_10uM,compound,11,H,0.908719,0.0538797
H012,323,0.972596,0.253769,H12_10uM,compound,12,H,0.762974,-0.709736
H013,295,1.0823,0.280304,H13_10uM,compound,13,H,0.989562,0.477453
H014,320,1.02344,0.281099,H14_10uM,compound,14,H,0.867988,-0.159521
H015,293,1.06552,0.288351,H15_10uM,compound,15,H,0.954908,0.295885
H016,288,1.08973,0.24775,H16_10uM,compound,16,H,1.0049,0.557812
H017,273,1.08056,0.27444,H17_10uM,compound,17,H,0.985962,0.458587
H018,246,0.91364,0.20639,H18_10uM,compound,18,H,0.641206,-1.34773
H019,307,0.993673,0.254759,H19_10uM,compound,19,H,0.806507,-0.481647
H020,256,0.980935,0.258047,H20_10uM,compound,20,H,0.780196,-0.619498
H021,253,0.875849,0.25498,H21_10uM,compound,21,H,0.563152,-1.75668
H022,298,0.780495,0.228569,H22_10uM,compound,22,H,0.366208,-2.78855
H023,110,0.597435,0.187415,GDC0941_1uM,pos.akt,23,H,-0.011886,-4.76953
H024,256,1.13206,0.270063,DMSO_1E-3,neg,24,H,1.09234,1.01594
I001,222,1.12745,0.296357,I1_10uM,compound,1,I,1.08281,0.965999
I002,453,1.11829,0.285503,I2_10uM,compound,2,I,1.0639,0.866927
I003,291,1.1082,0.269837,I3_10uM,compound,3,I,1.04305,0.757693
I004,231,1.03037,0.26951,I4_10uM,compound,4,I,0.882292,-0.084581
I005,298,1.11011,0.27886,I5_10uM,compound,5,I,1.04699,0.778359
I006,304,1.04408,0.278921,I6_10uM,compound,6,I,0.910624,0.0638624
I007,307,1.09201,0.271135,I7_10uM,compound,7,I,1.00961,0.582505
